Index,Violation Date,Latitudes,Longitudes,Neighborhood District,Violation Item,Violation Item Description
801,05/17/2017,37.790927190029656,-122.4306978,Pacific Heights,DOR,doors / self-closers
802,05/18/2017,37.78626385002967,-122.4188713,Tenderloin,ELE,electrical / work space/clearance
803,05/16/2017,37.78675523002964,-122.42249079000001,Western Addition,PEN,penetrations / fire rating maintained
804,05/16/2017,37.78675523002964,-122.42249079000001,Western Addition,PER,permit / general
805,05/17/2017,37.79560410002967,-122.40752125,Chinatown,ALR,alarm system maintained
806,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,COM,fire command center features
807,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,DOR,doors / blocked open
808,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,DOR,doors / repair or replace rated
809,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,EXI,exits/obstructions
810,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,REC,test and maintenance documentation
811,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,SPR,sprinkler / obstructions
812,09/07/2017,37.79296759002967,-122.40413957,Financial District/South Beach,STO,storage / combustibles in exit path
813,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,DOR,doors / repair or replace rated
814,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,ELE,electrical / hazards
815,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,EXT,extinguisher / required
816,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,PEN,penetrations / fire rating maintained
817,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,REC,test and maintenance documentation
818,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,SIG,signs / evacuation plans
819,04/04/2017,37.78564387002965,-122.41041235000002,Tenderloin,EXI,exits / storage in pathway
820,10/26/2005,37.790746710029666,-122.40859024,Nob Hill,SPR,sffc 1001.5.1.3  fire systems certified
821,10/26/2005,37.790746710029666,-122.40859024,Nob Hill,EXI,1205  fire escape/laddr-no encumburance
824,09/22/2017,37.78867267002965,-122.40766264999999,Financial District/South Beach,SPR,sprinkler / obstructions
825,11/09/2017,37.78913693002967,-122.39580005,Financial District/South Beach,PEN,fire resistance/construction
827,11/08/2005,37.78119131002965,-122.46733484999999,Inner Richmond,EXT,1001.5.1  extinguishers maintn yrly/after use
828,11/08/2005,37.78119131002965,-122.46733484999999,Inner Richmond,ALR,1001.5.1  fire alarms maintained
830,11/09/2005,37.748085350029626,-122.4097689,Bernal Heights,EXI,1212.4  exit sign illuminated
832,11/09/2005,37.748085350029626,-122.4097689,Bernal Heights,ALR,1001.5.1  fire alarms maintained
835,10/06/2017,37.78081523002964,-122.48081833999998,Outer Richmond,ALR,alarm system maintained
836,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,DOR,doors shall be distinguishable
837,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,EXI,exits / storage in pathway
838,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,EXT,extinguisher / obstructed
839,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,EXT,extinguisher / commercial cooking serv. required
841,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,ILL,illumination / repair emergency lighting
842,11/13/2017,37.78924955002965,-122.4024186,Financial District/South Beach,SPR,sprinkler / obstructions
843,11/13/2017,37.78259313002966,-122.41079828999999,Tenderloin,COM,fire command center features
844,11/09/2005,37.748085350029626,-122.4097689,Bernal Heights,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
845,11/09/2005,37.748085350029626,-122.4097689,Bernal Heights,999,other violations
846,11/14/2005,37.78608099002967,-122.41656130999999,Tenderloin,EXI,1212.4  exit sign illuminated
847,11/14/2005,37.78608099002967,-122.41656130999999,Tenderloin,EXI,1203  exit obstruction - fire escape
849,11/14/2005,37.78608099002967,-122.41656130999999,Tenderloin,EXT,1001.5.1  extinguishers maintn yrly/after use
851,11/14/2005,37.78608099002967,-122.41656130999999,Tenderloin,999,other violations
852,11/13/2017,37.778399000029665,-122.390709,South of Market,SFC,2016 san francisco fire code
853,04/07/2009,37.778399000029665,-122.390709,South of Market,EXI,exits / storage in pathway
854,04/07/2009,37.778399000029665,-122.390709,South of Market,PER,permit / general
855,07/20/2009,37.778399000029665,-122.390709,South of Market,PER,permit / general
856,07/09/2010,37.778399000029665,-122.390709,South of Market,PER,permit / general
857,07/09/2010,37.778399000029665,-122.390709,South of Market,SFC,2007 san francisco fire code
858,11/09/2017,37.79295899002967,-122.42587436,Pacific Heights,ILL,illumination / repair emergency lighting
859,11/13/2017,37.78259313002966,-122.41079828999999,Tenderloin,PEN,penetrations / fire rating maintained
860,11/13/2017,37.78259313002966,-122.41079828999999,Tenderloin,STO,storage / no combustibles allowed
862,11/18/2005,37.78083629002965,-122.47442956,Outer Richmond,STD,1001.5.1  fire protection equip maintenance
863,11/23/2005,37.78070398002966,-122.40945227,South of Market,STD,1001.5.1  fire protection equip maintenance
864,07/09/2010,37.778399000029665,-122.390709,South of Market,SFC,2007 san francisco fire code
865,01/14/2011,37.778399000029665,-122.390709,South of Market,ALR,alarm system maintained
866,03/23/2011,37.778399000029665,-122.390709,South of Market,EXI,exits / storage in pathway
867,04/02/2014,37.778399000029665,-122.390709,South of Market,DOR,doors / blocked open
868,04/09/2015,37.778399000029665,-122.390709,South of Market,STO,storage / no combustibles allowed
869,04/09/2015,37.778399000029665,-122.390709,South of Market,SPR,sprinkler /  add spare sprinkler heads
870,04/13/2015,37.778399000029665,-122.390709,South of Market,PER,permit / port
871,04/15/2015,37.778399000029665,-122.390709,South of Market,PEN,penetrations / fire rating maintained
872,02/08/2016,37.778399000029665,-122.390709,South of Market,EXI,exits / storage in pathway
873,02/08/2016,37.778399000029665,-122.390709,South of Market,PER,permit / general
874,02/08/2016,37.778399000029665,-122.390709,South of Market,SIG,signs / occupant load
875,02/08/2016,37.778399000029665,-122.390709,South of Market,SIG,signs / provide exit sign
876,02/08/2016,37.778399000029665,-122.390709,South of Market,SFC,2013 san francisco fire code
877,02/08/2016,37.778399000029665,-122.390709,South of Market,SFC,2013 san francisco fire code
878,11/29/2005,37.746446050029654,-122.42541757,Noe Valley,SPR,sffc 1001.5.1.3  fire systems certified
881,11/29/2005,37.74195552002963,-122.42190489000001,Bernal Heights,ALR,1001.5.1  fire alarms maintained
882,11/29/2005,37.74195552002963,-122.42190489000001,Bernal Heights,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
884,11/29/2005,37.79397080002967,-122.40262497,Chinatown,ALR,1001.5.1  fire alarms maintained
886,03/30/2017,37.778399000029665,-122.390709,South of Market,DOR,doors / self-closers
887,03/30/2017,37.778399000029665,-122.390709,South of Market,EXT,extinguisher / k required deep-fat fryers
888,03/30/2017,37.778399000029665,-122.390709,South of Market,HAZ,hazard / flam. liq. storage cabinets
889,03/30/2017,37.778399000029665,-122.390709,South of Market,REC,records / flame retardant proof
890,03/30/2017,37.778399000029665,-122.390709,South of Market,STO,"storage / boiler, mechanical & electric rooms"
891,03/30/2017,37.778399000029665,-122.390709,South of Market,STO,storage / ceiling clearance
892,03/30/2017,37.778399000029665,-122.390709,South of Market,STO,storage / combustibles in exit path
893,04/10/2017,37.778399000029665,-122.390709,South of Market,PER,permit / port
894,08/13/2017,37.778399000029665,-122.390709,South of Market,PER,permit / port
895,10/24/2017,37.77913368002966,-122.49885797000002,Outer Richmond,SIG,repair exit sign
898,12/01/2005,37.77313038002963,-122.47589642999999,Outer Richmond,ALR,1001.5.1  fire alarms maintained
899,12/01/2005,37.77313038002963,-122.47589642999999,Outer Richmond,SPR,sffc 1001.5.1.3  fire systems certified
901,12/02/2005,37.78257690002966,-122.42556659,Western Addition,EXI,1205  fire escape/laddr-no encumburance
902,12/02/2005,37.78007219002965,-122.40633458,South of Market,999,other violations
904,12/05/2005,37.79470598002966,-122.42634717000001,Pacific Heights,SPR,sffc 1001.5.1.3  fire systems certified
905,11/14/2017,37.76308982002964,-122.41982864000002,Mission,ALR,alarm system maintained
906,11/14/2017,37.76308982002964,-122.41982864000002,Mission,DOR,doors / non-conforming hardware
907,11/14/2017,37.78511093002965,-122.40742267,Financial District/South Beach,EXI,exits/obstructions
910,12/07/2005,37.75143742002965,-122.43438035,Noe Valley,EXT,1001.5.1  extinguishers maintn yrly/after use
912,12/07/2005,37.75143742002965,-122.43438035,Noe Valley,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
913,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,DOR,doors / latches
914,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,EXI,exits/fire escapes
915,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,ILL,illumination / additional exit sign
916,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,PER,permit / lp gas
917,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,REC,test and maintenance documentation
918,11/14/2017,37.79470598002966,-122.42634717000001,Pacific Heights,STD,fdc clear space at connections
919,11/15/2017,37.77828188002966,-122.42925900000002,Western Addition,PER,public assembly / permit required
920,05/05/2017,37.721264740029596,-122.40629755999998,Excelsior,SFC,2016 san francisco fire code
921,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,DOR,doors / blocked open
922,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,ELE,electrical / work space/clearance
923,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,ELE,electrical / hazards
924,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,EXT,aes forms
925,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,REC,records / facility emergency plan
926,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,SPR,sprinkler system maintained
927,09/28/2017,37.791315710029664,-122.40199384,Financial District/South Beach,STO,storage / ceiling clearance
928,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,DOR,doors / blocked open
929,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,EXT,aes forms
930,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,REC,records / ul certificate
931,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,SIG,signs / occupant load
932,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,STO,storage / gas & electric meters
933,09/14/2017,37.795156560029675,-122.40273226999999,Chinatown,EXT,extinguisher / service required
934,12/13/2005,37.79706977002967,-122.40826715000001,Chinatown,PER,permit / general
935,09/28/2017,37.78546629002965,-122.40045377999999,Financial District/South Beach,STO,storage / elevator equip. rooms
936,11/05/2017,37.721264740029596,-122.40629755999998,Excelsior,ALR,alarm system maintained
939,12/14/2005,37.78911295002967,-122.41909261999999,Nob Hill,ALR,1001.5.1  fire alarms maintained
942,12/15/2005,37.78662965002967,-122.41941327999999,Tenderloin,EXI,1212.4  exit sign illuminated
944,12/15/2005,37.78662965002967,-122.41941327999999,Tenderloin,SPR,sffc 1001.5.1.3  fire systems certified
945,12/15/2005,37.78662965002967,-122.41941327999999,Tenderloin,EXI,1205  fire escape/laddr-no encumburance
946,12/15/2005,37.78662965002967,-122.41941327999999,Tenderloin,SPR,1003.1  automatic sprinkler system required
948,11/08/2017,37.78531527002966,-122.41884968,Tenderloin,REC,test and maintenance documentation
949,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,DOR,doors / blocked open
950,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,ELE,electrical / hazards
951,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,EXI,exits / storage in pathway
952,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,KEY,keys provided per fire marshal
953,12/16/2005,37.763582730029654,-122.41175075999999,Mission,SPR,1003.1  automatic sprinkler system required
954,12/19/2005,37.75436100002967,-122.47783479000002,Sunset/Parkside,ALR,1001.5.1  fire alarms maintained
956,12/19/2005,37.77014670002964,-122.43201485,Haight Ashbury,EXI,1205  fire escape/laddr-no encumburance
958,12/21/2005,37.75589445002963,-122.43973816000002,Twin Peaks,EXI,1203  exit obstruction
961,12/21/2005,37.77500786002966,-122.43543324,Western Addition,EXT,1001.5.1  extinguishers maintn yrly/after use
962,12/21/2005,37.77500786002966,-122.43543324,Western Addition,STD,1001.5.1.2/app. iii-c  standpipe & spklr-5 yr svc
963,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,SIG,signs/pictorial required
964,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,SPR,sprinkler / obstructions
965,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,STD,standpipes / missing caps
966,11/09/2017,37.786980340029665,-122.40553133000002,Financial District/South Beach,STO,storage / ceiling clearance
971,12/21/2005,37.76853204002963,-122.44908591,Haight Ashbury,999,other violations
